1;donor;Apply here for a timeslot;17-01-05 06:15:00;pending;1
2;donor;Apply here for a timeslot;17-01-05 06:05:00;accepted;2
3;vendor;Apply here for a timeslot;17-01-05 07:02:00;accepted;3
4;vendor;Apply here for a timeslot;17-01-05 08:05:00;pending;4
5;vendor;Apply here for a timeslot;17-01-05 08:25:00;accepted;5
6;band;Last chance for your application;17-02-05 07:15:00;accepted;6
7;band;Last chance for your application;17-02-05 08:15:00;rejected;7
8;band;Last chance for your application;17-02-05 06:15:00;accepted;8
9;band;Last chance for your application;17-02-05 07:15:00;pending;9
10;band;Last chance for your application;17-02-05 08:15:00;accepted;10
11;band;Apply here for a timeslot;17-02-05 09:15:00;accepted;1
12;band;Last chance for your application;17-02-05 10:15:00;accepted;2
13;band;Apply here for a timeslot;17-02-05 11:15:00;accepted;3
14;band;Last chance for your application;17-02-05 12:15:00;pending;4
15;band;Last chance for your application;17-02-05 13:15:00;accepted;5
16;vendor;Last chance for your application;17-02-06 07:15:00;accepted;1
17;vendor;Last chance for your application;17-02-06 07:35:00;pending;2
18;vendor;Last chance for your application;17-02-06 07:55:00;accepted;3
